No_Transaksi,Tanggal,Waktu,Customer_ID,Items,Total_Item,Total_Harga,Metode_Pembayaran
TRX-20240618-012,2024-06-18,18:10,CUST-1085,"susu, deterjen, yogurt, pisang",4,56000,Tunai
TRX-20240328-004,2024-03-28,10:07,CUST-1103,"tahu, susu, yogurt, sabun, pisang",5,57000,QRIS
TRX-20240417-003,2024-04-17,18:56,CUST-1043,"biskuit, bawang, kentang, kopi, cokelat, daging sapi, wortel",7,148000,Tunai
TRX-20240531-002,2024-05-31,15:51,CUST-1146,"tahu, saos",2,17000,QRIS
TRX-20240605-004,2024-06-05,08:55,CUST-1176,"kentang, apel",2,25000,Tunai
TRX-20240415-005,2024-04-15,15:02,CUST-1017,"minyak goreng, tomat, bawang, sampo, telur",5,85000,QRIS
TRX-20240514-005,2024-05-14,20:47,CUST-1148,"sosis, ayam",2,57000,Debit
TRX-20240625-007,2024-06-25,19:39,CUST-1025,"kentang, daging sapi, bawang, wortel",4,88000,Tunai
TRX-20240622-006,2024-06-22,18:24,CUST-1039,"roti tawar, nugget",2,40000,Kredit
TRX-20240509-003,2024-05-09,15:54,CUST-1127,"telur, apel",2,39000,Tunai
TRX-20240312-003,2024-03-12,08:32,CUST-1058,"kecap, tahu, minyak goreng, susu, tempe, cokelat",6,78000,Debit
TRX-20240526-003,2024-05-26,15:05,CUST-1128,"telur, susu, roti tawar, tisu, nugget",5,89000,Tunai
